title,pubDate,guid,link,description
Farmers cut food production as costs soar,"Wed, 29 Jun 2022 16:04:39 GMT",https://www.bbc.co.uk/news/business-61958468,https://www.bbc.co.uk/news/business-61958468?at_medium=RSS&at_campaign=KARANGA,Soaring costs are forcing farmers to cut back on food and milk production.
Defence spending: Will the government break its promise?,"Wed, 29 Jun 2022 16:39:17 GMT",https://www.bbc.co.uk/news/61984356,https://www.bbc.co.uk/news/61984356?at_medium=RSS&at_campaign=KARANGA,Is it true that the government is going to break its manifesto pledge on defence spending?
The bloody legacy of Rodrigo Duterte,"Wed, 29 Jun 2022 23:26:09 GMT",https://www.bbc.co.uk/news/world-asia-61891472,https://www.bbc.co.uk/news/world-asia-61891472?at_medium=RSS&at_campaign=KARANGA,The Philippines strongman is retiring after a career fighting drugs and crime that left thousands dead.
A field of cows set me off on a new career path,"Wed, 29 Jun 2022 22:01:24 GMT",https://www.bbc.co.uk/news/uk-scotland-edinburgh-east-fife-61953122,https://www.bbc.co.uk/news/uk-scotland-edinburgh-east-fife-61953122?at_medium=RSS&at_campaign=KARANGA,Abby-Leigh Doig studied forensic psychology - but realised that she wanted to become a farmer.
Cost of living: Are high school proms too expensive?,"Wed, 29 Jun 2022 21:52:30 GMT",https://www.bbc.co.uk/news/uk-wales-61980996,https://www.bbc.co.uk/news/uk-wales-61980996?at_medium=RSS&at_campaign=KARANGA,"Pupils are skipping school as their families cannot afford expensive outfits and limos, charity warns."
Wimbledon 2022: Emma Raducanu loses to Caroline Garcia at All England Club,"Wed, 29 Jun 2022 21:29:12 GMT",https://www.bbc.co.uk/sport/tennis/61976135,https://www.bbc.co.uk/sport/tennis/61976135?at_medium=RSS&at_campaign=KARANGA,Emma Raducanu's Wimbledon is over after she is outplayed by France's Caroline Garcia in a second-round match that leaves Centre Court deflated.
England v South Africa: Issy Wong takes late wickets to boost hosts,"Wed, 29 Jun 2022 18:35:35 GMT",https://www.bbc.co.uk/sport/cricket/61960047,https://www.bbc.co.uk/sport/cricket/61960047?at_medium=RSS&at_campaign=KARANGA,Debutant Issy Wong takes two late wickets to aid England's push for victory over South Africa on day three of the one-off Test at Taunton.
Tour de France: Ineos Grenadiers' new plan for success with a next British talent,"Wed, 29 Jun 2022 23:01:59 GMT",https://www.bbc.co.uk/sport/cycling/61965408,https://www.bbc.co.uk/sport/cycling/61965408?at_medium=RSS&at_campaign=KARANGA,Ineos Grenadiers are doing things differently. Gone are the days of British dominance at the Tour de France. Now there is a new plan.
Wimbledon 2022: John Isner peppers Andy Murray with unplayable shots,"Wed, 29 Jun 2022 21:38:55 GMT",https://www.bbc.co.uk/sport/av/tennis/61990137,https://www.bbc.co.uk/sport/av/tennis/61990137?at_medium=RSS&at_campaign=KARANGA,American John Isner peppers two-time Wimbledon champion Andy Murray with a series of unstoppable shots on his way to a 6-4 7-6 (7-4) 6-7 (3-7) 6-4 victory.
"Wimbledon 2022: Watch Emma Raducanu, Novak Djokovic and Jelena Ostapenko in best shots of day three","Wed, 29 Jun 2022 19:07:00 GMT",https://www.bbc.co.uk/sport/av/tennis/61989521,https://www.bbc.co.uk/sport/av/tennis/61989521?at_medium=RSS&at_campaign=KARANGA,Emma Raducanu produces the best shot of day three at Wimbledon with Novak Djokovic and Jeļena Ostapenko also featuring.
Romelu Lukaku: Inter Milan sign Belgium striker on season-long loan from Chelsea,"Wed, 29 Jun 2022 19:42:22 GMT",https://www.bbc.co.uk/sport/football/61908384,https://www.bbc.co.uk/sport/football/61908384?at_medium=RSS&at_campaign=KARANGA,"Romelu Lukaku returns to Inter Milan on a season-long loan, just a year after leaving for Chelsea."
England v India: Andy Zaltzman on Edgbaston's series decider,"Wed, 29 Jun 2022 15:42:12 GMT",https://www.bbc.co.uk/sport/cricket/61968570,https://www.bbc.co.uk/sport/cricket/61968570?at_medium=RSS&at_campaign=KARANGA,Andy Zaltzman assesses England's numbers in beating New Zealand and shows why Ben Stokes' men are a completely different outfit to the side India last encountered.
"Tory whip resigns: I drank too much, I embarrassed myself","Fri, 01 Jul 2022 00:36:21 GMT",https://www.bbc.co.uk/news/uk-politics-62002088,https://www.bbc.co.uk/news/uk-politics-62002088?at_medium=RSS&at_campaign=KARANGA,"Chris Pincher steps down saying he ""drank far too much"", as a paper reports he groped two men."
Xi Jinping in Hong Kong: Tight security as city marks 25 years of handover,"Fri, 01 Jul 2022 01:54:15 GMT",https://www.bbc.co.uk/news/world-asia-china-61876082,https://www.bbc.co.uk/news/world-asia-china-61876082?at_medium=RSS&at_campaign=KARANGA,China's leader Xi Jinping is visiting in his first trip outside the mainland since the start of the pandemic.
Supreme Court limits Biden's power to cut emissions,"Thu, 30 Jun 2022 21:25:36 GMT",https://www.bbc.co.uk/news/science-environment-62000742,https://www.bbc.co.uk/news/science-environment-62000742?at_medium=RSS&at_campaign=KARANGA,The landmark ruling curbs federal power to limit greenhouse gas emissions in a setback for President Biden.
Student requests for hardship funding tripled over Covid,"Thu, 30 Jun 2022 23:57:33 GMT",https://www.bbc.co.uk/news/education-61883656,https://www.bbc.co.uk/news/education-61883656?at_medium=RSS&at_campaign=KARANGA,Freedom of Information responses suggest the amount of hardship money doubled last year.
